P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
GJ 806 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2023-11-28,1.9,Mass,1.331,0.9263237,0.01406,,87.7,,GJ 806,,HIP 102401,M1.5 V,311.2697,44.500235,20h45m04.73s,+44d30m00.85s,10.79,12.0445,3600.0,0.41,0.41,-0.28,5.0,-1.585,4.98,1.1947795,1.4274981,1.0725005,0.80578547,0.00023447353,0.01406,0.01406,0.01406,0.01406,131.53137,862.69454,974.27792,Terran,M,20 45 04.73,+44 30 00.85,0.026001596,0.43537528,0.035735509,0.34752105,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-157 d,Transit,Kepler,2016,2019-04-16,2.73,M-R relationship,1.46,7.0257347,0.0698,0.0,86.8,,Kepler-157,,,,291.09723,38.875605,19h24m23.33s,+38d52m32.18s,14.206,773.713,5866.0,1.02,1.03,-0.01,4.07,0.091,4.42,1.3674293,1.869863,1.2807281,0.87721102,0.00096938173,0.0698,0.0698,0.0698,0.0698,253.09826,1016.0662,1147.4871,Terran,G,19 24 23.33,+38 52 32.18,1.2331048,2.9982218,2.375429,0.45501317,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-476 b,Transit,Kepler,2016,2019-04-16,9.69,M-R relationship,3.08,14.006406,0.1126,0.0,88.33,,Kepler-476,,,,295.16376,43.963072,19h40m39.30s,+43d57m47.06s,14.018,813.535,5837.0,1.03,1.09,0.04,5.37,0.095,4.38,1.773726,3.1461039,1.0214623,0.33164361,0.002377675,0.1126,0.1126,0.1126,0.1126,98.157439,801.8267,,Neptunian,G,19 40 39.30,+43 57 47.06,1.2445146,3.012061,2.2673417,0.47807896,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-478 b,Transit,Kepler,2016,2019-04-16,7.8,M-R relationship,2.71,13.221758,0.1032,0.0,89.23,,Kepler-478,,,,292.48701,46.196187,19h29m56.88s,+46d11m46.27s,14.156,420.0,5210.0,0.85,0.8,-0.03,4.9,-0.371,4.56,1.6965343,2.8782288,1.062077,0.39191035,0.0021611762,0.1032,0.1032,0.1032,0.1032,39.961392,640.48632,,Neptunian,K,19 29 56.88,+46 11 46.27,0.42559841,1.7614234,0.7242607,0.44163535,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1496 b,Transit,Kepler,2016,2019-04-16,5.56,M-R relationship,2.22,64.658802,0.3211,0.0,89.93,,Kepler-1496,,,,293.97394,45.350717,19h35m53.74s,+45d21m02.58s,14.832,1307.66,6182.0,1.18,1.27,0.05,2.95,0.304,4.29,1.5825626,2.5045045,1.1281552,0.50817801,0.0053846376,0.3211,0.3211,0.3211,0.3211,19.530771,535.52476,604.79107,Superterran,F,19 35 53.74,+45 21 02.58,2.0137242,3.8314553,4.2915015,0.45271252,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1497 b,Transit,Kepler,2016,2019-04-16,3.39,M-R relationship,1.66,8.7419977,0.0817,0.0,89.91,,Kepler-1497,,,,296.19615,45.634312,19h44m47.08s,+45d38m03.52s,15.707,1122.0,5675.0,0.96,0.95,0.01,4.27,-0.073,4.47,1.4290447,2.0421687,1.2302221,0.74109765,0.0012444672,0.0817,0.0817,0.0817,0.0817,126.63562,854.55237,965.08262,Superterran,G,19 44 47.08,+45 38 03.52,0.84527885,2.4823543,1.6767071,0.44948986,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1569 b,Transit,Kepler,2016,2018-09-25,3.46,M-R relationship,1.68,5.7918016,0.0654,0.0,81.51,,Kepler-1569,,,,292.20467,37.221207,19h28m49.12s,+37d13m16.34s,14.123,945.454,6319.0,1.25,1.4,0.06,2.45,0.335,4.24,1.4351041,2.0595238,1.225907,0.72970657,0.0009185124,0.0654,0.0654,0.0654,0.0654,505.64359,1207.983,1364.227,Superterran,F,19 28 49.12,+37 13 16.34,2.1627185,3.9706697,5.5356689,0.44742734,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1571 b,Transit,Kepler,2016,2019-04-16,2.92,M-R relationship,1.52,3.3855549,0.0432,0.0,89.47,,Kepler-1571,,,,300.93541,45.596484,20h03m44.50s,+45d35m47.34s,13.975,675.303,6297.0,1.23,1.39,0.04,2.34,0.194,4.24,1.3860204,1.9210526,1.2638504,0.83148054,0.00057644991,0.0432,0.0432,0.0432,0.0432,837.59197,1370.4331,1547.6888,Terran,F,20 03 44.50,+45 35 47.34,1.5631476,3.3756994,5.3017658,0.44163402,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1440 b,Transit,Kepler,2016,2019-04-16,2.13,M-R relationship,1.26,39.859484,0.2274,0.0,89.36,,Kepler-1440,,,,285.34697,48.312228,19h01m23.27s,+48d18m44.02s,14.24,1115.35,5698.0,0.98,0.96,0.04,4.47,0.377,4.46,1.3001831,1.6904762,1.3416478,1.0647998,0.0029464125,0.2274,0.2274,0.2274,0.2274,46.070092,663.6735,749.51493,Terran,G,19 01 23.27,+48 18 44.02,2.3823195,4.1673863,1.7563169,0.45605594,0,0,Hot,0,Draco,Dra,Dragon
Kepler-132 b,Transit,Kepler,2014,2019-04-16,1.92,M-R relationship,1.21,6.178196,0.067,0.0,85.28,,Kepler-132,,,,283.23581,41.343037,18h52m56.59s,+41d20m34.93s,11.922,349.549,6003.0,0.98,1.18,-0.216,4.37,0.211,4.31,1.2596733,1.5867769,1.3113858,1.0837899,0.00083859404,0.067,0.067,0.067,0.067,362.11823,1111.2514,1254.9838,Terran,F,18 52 56.59,+41 20 34.93,1.6255488,3.4424193,2.9659843,0.45433944,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1468 c,Transit,Kepler,2016,2019-04-16,1.6,M-R relationship,1.15,3.5455302,0.0466,0.0,88.75,,Kepler-1468,,,,293.51983,41.277367,19h34m04.76s,+41d16m38.52s,15.111,1899.24,5893.0,1.04,1.05,0.03,3.55,0.531,4.42,1.1795356,1.3913043,1.2098299,1.052026,0.00053810461,0.0466,0.0466,0.0466,0.0466,1563.9691,1601.9788,1809.1833,Terran,G,19 34 04.76,+41 16 38.52,3.3962527,4.9758097,2.5043688,0.44765215,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1337 b,Transit,Kepler,2016,2019-04-16,6.39,M-R relationship,2.41,24.400255,0.1441,0.0,88.3,,Kepler-1337,,,,287.00912,46.796123,19h08m02.19s,+46d47m46.04s,16.21,601.629,4523.0,0.7,0.67,-0.09,4.27,-0.742,4.64,1.6283281,2.6514523,1.1001877,0.45650941,0.0030124291,0.1441,0.1441,0.1441,0.1441,8.7231238,437.7919,494.41715,Superterran,K,19 08 02.19,+46 47 46.04,0.18113401,1.1491157,0.20854747,0.4045717,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1502 b,Transit,Kepler,2016,2019-04-16,10.2,M-R relationship,3.18,41.708363,0.2482,0.0,88.65,,Kepler-1502,,,,296.10793,39.31992,19h44m25.90s,+39d19m11.71s,14.18,1514.02,6666.0,1.44,1.72,0.05,1.7,0.742,4.13,1.7909626,3.2075472,1.0086626,0.31718951,0.0047679635,0.2482,0.2482,0.2482,0.2482,89.618247,783.78838,,Neptunian,F,19 44 25.90,+39 19 11.71,5.5207744,6.3440086,10.533124,0.44132022,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1302 b,Transit,Kepler,2016,2019-04-16,2.63,M-R relationship,1.43,8.8392266,0.0795,0.0,86.88,,Kepler-1302,,,,290.98925,50.308064,19h23m57.42s,+50d18m29.03s,15.172,634.58,5236.0,0.86,0.82,0.04,4.68,-0.467,4.55,1.3561566,1.8391608,1.2861265,0.89938913,0.0011542631,0.0795,0.0795,0.0795,0.0795,53.984085,690.50391,779.81567,Terran,K,19 23 57.42,+50 18 29.03,0.34119291,1.5771165,0.7603038,0.43997901,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1511 b,Transit,Kepler,2016,2019-04-16,3.46,M-R relationship,1.68,23.238279,0.1753,0.0,88.98,,Kepler-1511,,,,288.42119,43.179773,19h13m41.09s,+43d10m47.18s,13.564,1475.6,6064.0,1.17,1.29,0.14,3.31,0.838,4.28,1.4351041,2.0595238,1.225907,0.72970657,0.0025168881,0.1753,0.1753,0.1753,0.1753,224.09706,985.61828,1113.101,Superterran,F,19 13 41.09,+43 10 47.18,6.886523,7.0853901,3.4940998,0.46017688,0,0,Hot,0,Lyra,Lyr,Lyre
HD 160691 e,Radial Velocity,La Silla Observatory,2006,2022-08-01,2224.7989,Mass,12.636979,307.9,0.934,0.0666,60.0,193.0,HD 160691,HD 160691,HIP 86796,G3 IV-V,266.03616,-51.834875,17h44m08.68s,-51d50m05.55s,5.12,15.5981,5773.0,1.13,1.33,0.28,5.7,0.278,4.2,13.268558,176.05464,13.931703,1.1024552,0.10929594,0.93607141,0.8717956,0.9962044,0.93451861,2.1790719,309.24717,,Jovian,G,17 44 08.68,-51 50 05.55,1.8967059,3.7184656,2.0949766,0.4980009,0,0,Hot,0,Ara,Ara,Altar
Kepler-1847 b,Transit,Kepler,2021,2021-12-05,7.97,M-R relationship,2.745,11.1297,0.0989,0.0,88.66,,Kepler-1847,,,,296.6014,44.325229,19h46m24.34s,+44d19m30.82s,16.027,1693.86,6122.0,1.04,0.96,-0.18,0.4,0.099,4.49,1.7039545,2.9034608,1.0577271,0.38532863,0.0019503978,0.0989,0.0989,0.0989,0.0989,128.41253,857.53443,,Neptunian,F,19 46 24.34,+44 19 30.82,1.25603,3.0259641,3.7115841,0.31110903,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1584 b,Transit,Kepler,2016,2019-04-16,3.22,M-R relationship,1.61,13.39971,0.1168,0.0,89.21,,Kepler-1584,,,,287.76268,43.274393,19h11m03.04s,+43d16m27.81s,15.105,1416.31,6069.0,1.1,1.13,0.0,3.31,0.252,4.37,1.4142136,2.0,1.242236,0.77157517,0.0016712798,0.1168,0.1168,0.1168,0.1168,130.95266,861.74404,973.20448,Superterran,F,19 11 03.04,+43 16 27.81,1.7864876,3.6088079,3.4525091,0.4508102,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1294 b,Transit,Kepler,2016,2018-09-25,10.3,M-R relationship,3.19,115.68623,0.4684,0.0,89.93,,Kepler-1294,,,,291.2681,44.488162,19h25m04.34s,+44d29m17.38s,15.361,1855.7,5776.0,0.99,0.97,-0.03,3.98,0.421,4.46,1.7968974,3.2288401,1.0121756,0.31729642,0.010228285,0.4684,0.4684,0.4684,0.4684,12.016175,474.28705,,Neptunian,G,19 25 04.34,+44 29 17.38,2.6363314,4.3839315,2.0149755,0.44883193,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1297 b,Transit,Kepler,2016,2019-04-16,0.871,M-R relationship,0.97,1.68189,0.0283,0.0,84.06,,Kepler-1297,,,,289.95644,47.020347,19h19m49.55s,+47d01m13.25s,14.867,1439.47,5818.0,0.99,0.99,-0.04,4.17,0.302,4.45,0.94759598,0.89793814,0.92570943,0.95433962,0.00027124766,0.0283,0.0283,0.0283,0.0283,2502.8057,1801.7996,2034.8495,Terran,G,19 19 49.55,+47 01 13.25,2.004472,3.8226432,2.1657421,0.45233401,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1298 b,Transit,Kepler,2016,2019-04-16,2.27,M-R relationship,1.31,7.1281193,0.082,0.0,88.82,,Kepler-1298,,,,284.42275,49.106191,18h57m41.46s,+49d06m22.29s,11.388,544.163,6339.0,1.45,2.0,0.13,2.57,0.84,4.0,1.3163679,1.7328244,1.3227667,1.0097456,0.00095239781,0.082,0.082,0.082,0.082,1028.8979,1442.7556,1629.3658,Terran,F,18 57 41.46,+49 06 22.29,6.9183097,7.1017236,6.0197501,0.47388143,0,0,Hot,0,Draco,Dra,Dragon
Kepler-1316 b,Transit,Kepler,2016,2018-09-25,12.3,M-R relationship,3.54,87.973214,0.3859,0.0,89.98,,Kepler-1316,,,,298.83583,40.293071,19h55m20.60s,+40d17m35.06s,14.119,800.871,5884.0,1.04,1.12,0.03,5.13,0.253,4.36,1.8640215,3.4745763,0.98151872,0.27726518,0.0087946242,0.3859,0.3859,0.3859,0.3859,12.024041,474.36465,,Neptunian,G,19 55 20.60,+40 17 35.06,1.7906059,3.6129651,2.4659441,0.47598015,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1335 b,Transit,Kepler,2016,2019-04-16,2.7,M-R relationship,1.45,6.2640685,0.0615,0.0,89.33,,Kepler-1335,,,,284.83844,42.070337,18h59m21.23s,+42d04m13.21s,15.248,621.853,4903.0,0.77,0.74,-0.07,4.9,-0.555,4.6,1.3645765,1.862069,1.2841855,0.88564517,0.00093458336,0.0615,0.0615,0.0615,0.0615,73.663062,746.29778,842.82607,Terran,K,18 59 21.23,+42 04 13.21,0.27861212,1.4251605,0.41354931,0.42732119,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1576 b,Transit,Kepler,2016,2019-04-16,1.12,M-R relationship,1.04,6.9847197,0.0726,0.0,88.54,,Kepler-1576,,,,289.07396,40.366024,19h16m17.75s,+40d21m57.69s,13.439,460.91,5876.0,1.05,1.06,0.05,4.07,-0.063,4.4,1.037749,1.0769231,1.035503,0.99567592,0.0007419901,0.0726,0.0726,0.0726,0.0726,164.10687,911.76181,1029.6917,Terran,G,19 16 17.75,+40 21 57.69,0.86496792,2.5110986,2.440055,0.45943105,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1490 b,Transit,Kepler,2016,2019-04-16,9.48,M-R relationship,3.04,92.436297,0.3729,0.0,88.85,,Kepler-1490,,,,295.69357,42.609454,19h42m46.46s,+42d36m34.04s,15.616,862.92,5515.0,0.9,0.87,-0.08,4.57,-0.319,4.52,1.7659052,3.1184211,1.0257964,0.33743303,0.0081764774,0.3729,0.3729,0.3729,0.3729,3.4499693,347.17906,,Neptunian,G,19 42 46.46,+42 36 34.04,0.47973345,1.8700954,1.2466238,0.44493002,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1512 b,Transit,Kepler,2016,2019-04-16,1.76,M-R relationship,1.18,20.359726,0.1097,0.0,89.45,,Kepler-1512,,,,289.2745,44.470406,19h17m05.88s,+44d28m13.46s,13.451,162.0,4372.0,0.73,0.67,0.2,1.78,-1.695,4.64,1.2212802,1.4915254,1.2640046,1.0711903,0.0014713697,0.1097,0.1097,0.1097,0.1097,1.6772073,289.89879,327.39512,Terran,K,19 17 05.88,+44 28 13.46,0.020183664,0.3835869,0.16316088,0.3545976,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1338 b,Transit,Kepler,2016,2019-04-16,0.721,M-R relationship,0.92,0.93511806,0.0193,0.0,86.81,,Kepler-1338,,,,284.04227,41.699035,18h56m10.14s,+41d41m56.53s,13.699,753.26,5909.0,1.04,1.05,0.0,3.8,0.247,4.41,0.88526587,0.78369565,0.8518431,0.92591641,0.0001708611,0.0193,0.0193,0.0193,0.0193,4741.1684,2113.8349,2387.2443,Terran,G,18 56 10.14,+41 41 56.53,1.7660378,3.5880936,2.5741638,0.45275843,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1323 b,Transit,Kepler,2016,2019-04-16,2.92,M-R relationship,1.52,0.92990668,0.0191,0.0,88.59,,Kepler-1323,,,,292.87225,46.098729,19h31m29.34s,+46d05m55.42s,12.444,465.417,6169.0,1.18,1.4,0.02,3.55,0.295,4.21,1.3860204,1.9210526,1.2638504,0.83148054,0.0002584157,0.0191,0.0191,0.0191,0.0191,5406.7124,2184.4043,2466.9414,Terran,F,19 31 29.34,+46 05 55.42,1.9724227,3.7919601,4.1967175,0.46689967,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1498 b,Transit,Kepler,2016,2019-04-16,2.33,M-R relationship,1.33,48.051405,0.2528,0.0,89.77,,Kepler-1498,,,,284.77809,44.916751,18h59m06.74s,+44d55m00.30s,15.352,740.0,5256.0,0.86,0.81,-0.01,4.17,-0.166,4.56,1.3235859,1.7518797,1.3172028,0.99037803,0.0035251814,0.2528,0.2528,0.2528,0.2528,10.676917,460.48043,520.04028,Terran,K,18 59 06.74,+44 55 00.30,0.68233869,2.2303025,0.78688184,0.4315989,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1499 b,Transit,Kepler,2016,2019-04-16,1.81,M-R relationship,1.19,44.2008,0.2196,0.0,89.69,,Kepler-1499,,,,283.98635,41.650509,18h55m56.72s,+41d39m01.83s,13.676,309.869,5097.0,0.82,0.78,-0.01,4.68,-0.464,4.58,1.2332917,1.5210084,1.2781583,1.0740826,0.0028600425,0.2196,0.2196,0.2196,0.2196,7.1241873,416.18224,470.01244,Terran,K,18 55 56.72,+41 39 01.83,0.34355795,1.582573,0.58936169,0.43304906,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-133 c,Transit,Kepler,2014,2019-04-16,8.45,M-R relationship,2.84,31.517586,0.204,0.0,88.8,,Kepler-133,,,,297.27789,48.320354,19h49m06.69s,+48d19m13.28s,12.896,653.6,5736.0,1.02,1.43,0.282,9.4,0.41,4.19,1.7249209,2.9753521,1.0476592,0.36889408,0.004128899,0.204,0.204,0.204,0.204,61.764605,714.14208,,Neptunian,G,19 49 06.69,+48 19 13.28,2.5703958,4.3287626,1.8999699,0.52313391,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1336 c,Transit,Kepler,2016,2019-04-16,3.57,M-R relationship,1.71,5.7772121,0.0631,0.0,87.0,,Kepler-1336,,,,296.27766,46.899801,19h45m06.64s,+46d53m59.28s,14.264,1126.64,5512.0,0.94,1.3,0.05,12.3,0.421,4.18,1.4448942,2.0877193,1.2208885,0.71396987,0.0009847547,0.0631,0.0631,0.0631,0.0631,662.12698,1292.2157,1459.3546,Superterran,G,19 45 06.64,+46 53 59.28,2.6363314,4.3839315,1.2583232,0.53241667,0,0,Hot,0,Cygnus,Cyg,Swan
TOI-1820 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,2023-03-16,731.00534,Mass,12.778,4.860674,0.061,0.043,84.4,9.0,TOI-1820,,,,187.68672,27.452002,12h30m44.81s,+27d27m07.21s,10.899,248.504,5734.0,1.04,1.51,0.14,11.0,0.294,4.24,7.5636049,57.208119,4.4770792,0.35037402,0.0051918574,0.061056394,0.058377,0.063623,0.061014107,529.34913,1221.475,,Jovian,G,12 30 44.81,+27 27 07.21,1.9678863,3.787597,1.9057483,0.5405071,0,0,Hot,0,Coma Berenices,Com,Berenice's Hair
Kepler-1355 b,Transit,Kepler,2016,2019-04-16,2.73,M-R relationship,1.46,1.2895881,0.0224,0.0,86.63,,Kepler-1355,,,,283.74142,49.067983,18h54m57.94s,+49d04m04.74s,15.595,911.269,5352.0,0.88,0.83,-0.04,4.27,-0.329,4.55,1.3674293,1.869863,1.2807281,0.87721102,0.00032678335,0.0224,0.0224,0.0224,0.0224,934.33789,1408.399,1590.5653,Terran,G,18 54 57.94,+49 04 04.74,0.46881338,1.8486886,0.93511478,0.43664019,0,0,Hot,0,Draco,Dra,Dragon
Kepler-1370 b,Transit,Kepler,2016,2019-04-16,4.04,M-R relationship,1.84,20.264168,0.1495,0.0,86.42,,Kepler-1370,,,,284.56569,41.778478,18h58m15.77s,+41d46m42.52s,13.718,1004.1,6202.0,1.19,1.29,0.05,2.88,0.458,4.29,1.4817733,2.1956522,1.1932892,0.64852675,0.0022475252,0.1495,0.1495,0.1495,0.1495,128.44512,857.58882,968.51182,Superterran,F,18 58 15.77,+41 46 42.52,2.8707806,4.5747121,4.4540315,0.45217433,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1360 b,Transit,Kepler,2016,2019-04-16,11.5,M-R relationship,3.4,40.528641,0.2866,0.0,89.34,,Kepler-1360,,,,300.34405,45.623183,20h01m22.57s,+45d37m23.46s,14.007,1516.27,6778.0,1.51,1.83,0.06,1.55,0.923,4.09,1.8391174,3.3823529,0.99480969,0.29259108,0.0056402939,0.2866,0.2866,0.2866,0.2866,101.96418,809.49024,,Neptunian,F,20 01 22.57,+45 37 23.46,8.3752928,7.8138265,12.97161,0.44150853,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1367 b,Transit,Kepler,2016,2019-04-16,0.721,M-R relationship,0.92,1.5740903,0.0236,0.0,89.48,,Kepler-1367,,,,288.41668,47.878731,19h13m40.00s,+47d52m43.43s,16.012,401.484,4106.0,0.62,0.6,-0.06,3.89,-0.905,4.68,0.88526587,0.78369565,0.8518431,0.92591641,0.00024824382,0.0236,0.0236,0.0236,0.0236,223.44775,984.90356,1112.2938,Terran,K,19 13 40.00,+47 52 43.43,0.12445146,0.95249732,0.097837409,0.38254306,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1381 b,Transit,Kepler,2016,2019-04-16,5.69,M-R relationship,2.25,25.384269,0.1728,0.0,89.74,,Kepler-1381,,,,287.53579,48.727783,19h10m08.59s,+48d43m40.02s,15.579,1197.04,5747.0,0.96,0.94,-0.1,4.07,-0.117,4.48,1.5902481,2.5288889,1.1239506,0.49953361,0.0031280666,0.1728,0.1728,0.1728,0.1728,25.580706,572.8987,646.99906,Superterran,G,19 10 08.59,+48 43 40.02,0.76383578,2.3597379,1.8974822,0.44591045,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1383 b,Transit,Kepler,2016,2019-04-16,2.57,M-R relationship,1.41,13.909358,0.1179,0.0,89.52,,Kepler-1383,,,,297.94477,42.191845,19h51m46.75s,+42d11m30.64s,13.832,1027.21,6370.0,1.26,1.44,0.03,2.24,0.568,4.23,1.3500722,1.822695,1.2926915,0.91680249,0.0014956153,0.1179,0.1179,0.1179,0.1179,266.05559,1028.8281,1161.8996,Terran,F,19 51 46.75,+42 11 30.64,3.6982818,5.1923477,6.0586467,0.44196684,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1371 c,Transit,Kepler,2016,2018-09-25,0.196,M-R relationship,0.64,2.0054127,0.0274,0.0,77.66,,Kepler-1371,,,,288.83143,47.551975,19h15m19.54s,+47d33m07.11s,14.018,515.334,5361.0,0.87,0.83,-0.07,4.37,-0.198,4.55,0.55339859,0.30625,0.47851562,0.74768066,0.00016676878,0.0274,0.0274,0.0274,0.0274,844.30405,1373.1704,1550.7802,Subterran,G,19 15 19.54,+47 33 07.11,0.63386971,2.1496302,0.94607487,0.43666142,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1373 b,Transit,Kepler,2016,2019-04-16,1.65,M-R relationship,1.16,1.2912328,0.0242,0.0,87.84,,Kepler-1373,,,,285.75202,39.249173,19h03m00.49s,+39d14m57.02s,14.328,1699.46,6299.0,1.22,1.33,0.03,2.51,0.774,4.27,1.1926499,1.4224138,1.2262188,1.0570852,0.00026769606,0.0242,0.0242,0.0242,0.0242,10147.739,2556.7721,2887.4724,Terran,F,19 03 00.49,+39 14 57.02,5.9429216,6.5820892,5.3055574,0.4456122,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1397 b,Transit,Kepler,2016,2019-04-16,3.61,M-R relationship,1.72,47.449955,0.2602,0.0,89.97,,Kepler-1397,,,,299.67588,47.075823,19h58m42.21s,+47d04m32.96s,14.324,1198.25,6026.0,1.09,1.12,0.0,3.55,0.591,4.37,1.4487364,2.0988372,1.2202542,0.70945011,0.0038795925,0.2602,0.2602,0.2602,0.2602,57.595084,701.77204,792.54125,Superterran,F,19 58 42.21,+47 04 32.96,3.8994199,5.3316762,3.1969048,0.45471407,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1386 b,Transit,Kepler,2016,2019-04-16,2.07,M-R relationship,1.24,6.7397238,0.068,0.0,85.98,,Kepler-1386,,,,280.82336,42.636052,18h43m17.61s,+42d38m09.79s,14.597,835.882,5733.0,1.02,1.03,0.11,5.01,0.009,4.41,1.2920352,1.6693548,1.3462539,1.0856886,0.00086116073,0.068,0.068,0.068,0.068,220.79141,981.96329,1108.9732,Terran,G,18 43 17.61,+42 38 09.79,1.0209395,2.7281219,1.8902026,0.4710473,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1406 b,Transit,Kepler,2016,2019-04-16,1.37,M-R relationship,1.1,11.629058,0.0987,0.0,85.67,,Kepler-1406,,,,292.08188,38.914947,19h28m19.65s,+38d54m53.81s,13.39,572.403,5892.0,1.05,1.12,0.04,5.01,0.135,4.36,1.1159993,1.2454545,1.1322314,1.0293013,0.001078813,0.0987,0.0987,0.0987,0.0987,140.07663,876.37733,989.73048,Terran,G,19 28 19.65,+38 54 53.81,1.3645831,3.1540151,2.5080575,0.47562086,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1554 b,Transit,Kepler,2016,2019-04-16,8.75,M-R relationship,2.9,198.08877,0.6314,0.0,89.77,,Kepler-1554,,,,286.57602,41.741576,19h06m18.24s,+41d44m29.67s,15.93,946.847,5297.0,0.84,0.81,-0.1,4.68,-0.393,4.56,1.7370208,3.0172414,1.0404281,0.3587683,0.013793233,0.6314,0.6314,0.6314,0.6314,1.0148243,255.68039,,Neptunian,K,19 06 18.24,+41 44 29.67,0.40457589,1.7173696,0.83771052,0.43654154,1,1,Warm,0,Lyra,Lyr,Lyre
Kepler-1536 b,Transit,Kepler,2016,2018-09-25,10.0,M-R relationship,3.14,364.75803,0.8507,0.0,89.59,,Kepler-1536,,,,291.58526,45.715874,19h26m20.46s,+45d42m57.15s,15.464,387.248,4434.0,0.71,0.67,0.05,2.95,-0.822,4.64,1.7845765,3.1847134,1.0142399,0.32300635,0.020549861,0.8507,0.8507,0.8507,0.8507,0.2081839,172.07251,,Neptunian,K,19 26 20.46,+45 42 57.15,0.15066071,1.048006,0.17982657,0.38219173,0,0,Cold,0,Cygnus,Cyg,Swan
Kepler-1420 b,Transit,Kepler,2016,2019-04-16,2.18,M-R relationship,1.28,6.6996001,0.0671,0.0,90.0,,Kepler-1420,,,,296.20386,42.777817,19h44m48.93s,+42d46m40.14s,15.894,1054.37,5187.0,0.82,0.79,-0.1,4.9,-0.232,4.57,1.3050383,1.703125,1.3305664,1.039505,0.00092979809,0.0671,0.0671,0.0671,0.0671,130.18321,860.47538,971.77173,Terran,K,19 44 48.93,+42 46 40.14,0.58613816,2.0671108,0.68791141,0.43637728,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1544 b,Transit,Kepler,2016,2019-04-16,3.82,M-R relationship,1.78,168.81117,0.5421,0.0,89.797,,Kepler-1544,,,,297.28522,49.212453,19h49m08.45s,+49d12m44.83s,14.287,335.09,4886.0,0.81,0.74,0.02,2.34,-0.606,4.61,1.4649462,2.1460674,1.2056559,0.67733475,0.0090933541,0.5421,0.5421,0.5421,0.5421,0.84302642,244.09563,275.66766,Superterran,K,19 49 08.45,+49 12 44.83,0.24774221,1.3438901,0.4084837,0.38422812,1,1,Warm,2,Cygnus,Cyg,Swan
